shape,family,max_acc,max_params,params@0.95,params@0.98,params@0.99,params@0.995
chain_link_four,mlp2,0.9120126962661744,4611,,,,
chain_link_four,relu1,0.9402880668640136,14339,,,,
chain_link_four,sae,0.9167545437812804,14339,,,,
chain_link_four,sae_weak,0.947839856147766,14339,,,,
chain_link_four,spline1,0.9799789786338806,3299,827.0,,,
chain_link_four,spline3,0.9910432696342468,3683,463.0,1075.0,2147.0,
chain_link_three,mlp2,0.955707311630249,4611,2691.0,,,
chain_link_three,relu1,0.9536064863204956,14339,7171.0,,,
chain_link_three,sae,0.9485294222831726,14339,,,,
chain_link_three,sae_weak,0.9646358489990234,14339,3587.0,,,
chain_link_three,spline1,0.987044870853424,3299,499.0,995.0,,
chain_link_three,spline3,0.993172287940979,3683,347.0,539.0,1075.0,
chain_link_two,mlp2,0.9637160301208496,4611,1283.0,,,
chain_link_two,relu1,0.9686239957809448,14339,3587.0,,,
chain_link_two,sae,0.9582821726799012,14339,899.0,,,
chain_link_two,sae_weak,0.9733566641807556,14339,1795.0,,,
chain_link_two,spline1,0.988781750202179,3299,499.0,995.0,,
chain_link_two,spline3,0.9915863275527954,3683,271.0,539.0,1075.0,
circle_border_1,mlp2,0.9809321761131288,4611,1283.0,4611.0,,
circle_border_1,relu1,0.9747528433799744,14339,3587.0,,,
circle_border_1,sae,0.9726341962814332,14339,1795.0,,,
circle_border_1,sae_weak,0.9786369800567628,14339,1795.0,,,
circle_border_1,spline1,0.9848163723945618,3299,499.0,1763.0,,
circle_border_1,spline3,0.994879961013794,3683,175.0,347.0,691.0,
circle_border_2,mlp2,0.9703322649002076,4611,1283.0,,,
circle_border_2,relu1,0.9664239287376404,14339,7171.0,,,
circle_border_2,sae,0.9660686254501344,14339,3587.0,,,
circle_border_2,sae_weak,0.9719310998916626,14339,7171.0,,,
circle_border_2,spline1,0.987209141254425,3299,415.0,995.0,,
circle_border_2,spline3,0.9957364201545716,3683,175.0,347.0,691.0,1379.0
circle_border_3,mlp2,0.9655910134315492,4611,4611.0,,,
circle_border_3,relu1,0.9570333361625672,14339,7171.0,,,
circle_border_3,sae,0.9481191039085388,14339,,,,
circle_border_3,sae_weak,0.964343011379242,14339,7171.0,,,
circle_border_3,spline1,0.966660737991333,3299,995.0,,,
circle_border_3,spline3,0.9880549311637878,3683,347.0,1075.0,,
double_intersecting_in_plane,mlp2,0.9749239087104796,4611,387.0,,,
double_intersecting_in_plane,relu1,0.97581946849823,14339,1795.0,,,
double_intersecting_in_plane,sae,0.9734909534454346,14339,899.0,,,
double_intersecting_in_plane,sae_weak,0.9785062074661256,14339,899.0,,,
double_intersecting_in_plane,spline1,0.990148663520813,3299,251.0,499.0,1763.0,
double_intersecting_in_plane,spline3,0.9962385892868042,3683,175.0,233.0,539.0,539.0
double_touching_in_plane,mlp2,0.9719051718711852,4611,1283.0,,,
double_touching_in_plane,relu1,0.9696224331855774,14339,3587.0,,,
double_touching_in_plane,sae,0.9690956473350524,14339,899.0,,,
double_touching_in_plane,sae_weak,0.9715539813041688,14339,1795.0,,,
double_touching_in_plane,spline1,0.9896399974822998,3299,415.0,995.0,,
double_touching_in_plane,spline3,0.9961369633674622,3683,175.0,347.0,463.0,923.0
keyring_1,mlp2,0.9702589511871338,4611,1283.0,,,
keyring_1,relu1,0.9748075604438782,14339,1795.0,,,
keyring_1,sae,0.9678096771240234,14339,899.0,,,
keyring_1,sae_weak,0.9770818948745728,14339,1795.0,,,
keyring_1,spline1,0.989678144454956,3299,443.0,883.0,,
keyring_1,spline3,0.9935269355773926,3683,271.0,539.0,1075.0,
keyring_2,mlp2,0.952464520931244,4611,4611.0,,,
keyring_2,relu1,0.9526398777961732,14339,14339.0,,,
keyring_2,sae,0.9508858323097228,14339,14339.0,,,
keyring_2,sae_weak,0.9615857005119324,14339,3587.0,,,
keyring_2,spline1,0.9829854369163512,3299,827.0,1651.0,,
keyring_2,spline3,0.9910542368888856,3683,271.0,539.0,1843.0,
keyring_3,mlp2,0.9607430696487428,4611,4611.0,,,
keyring_3,relu1,0.935681700706482,14339,,,,
keyring_3,sae,0.9121976494789124,14339,,,,
keyring_3,sae_weak,0.9439186453819276,14339,,,,
keyring_3,spline1,0.9735366106033324,3299,883.0,,,
keyring_3,spline3,0.9887837171554564,3683,539.0,1843.0,,
plus_shape,mlp2,0.9882798194885254,4611,387.0,1283.0,,
plus_shape,relu1,0.986476719379425,14339,451.0,1795.0,,
plus_shape,sae,0.9816083908081056,14339,451.0,7171.0,,
plus_shape,sae_weak,0.986116111278534,14339,451.0,1795.0,,
plus_shape,spline1,0.9926072955131532,3299,223.0,443.0,883.0,
plus_shape,spline3,0.9956725835800172,3683,175.0,175.0,271.0,539.0
pretzel_three_in_plane,mlp2,0.9726735353469848,4611,2691.0,,,
pretzel_three_in_plane,relu1,0.9687961339950562,14339,7171.0,,,
pretzel_three_in_plane,sae,0.9630723595619202,14339,1795.0,,,
