shape,family,max_acc,max_params,params@0.95,params@0.98,params@0.99,params@0.995
chain_link_two,mlp2,0.9447852373123169,17411,,,,
chain_link_two,relu1,0.938562661409378,28675,,,,
chain_link_two,sae,0.9163014590740204,28675,,,,
chain_link_two,spline1,0.9763365089893342,3299,663.0,,,
chain_link_two,spline3,0.9646800756454468,1035,519.0,,,
circle_border_1,mlp2,0.9610699117183685,17411,4611.0,,,
circle_border_1,relu1,0.9383827745914459,28675,,,,
circle_border_1,sae,0.9301730394363403,28675,,,,
circle_border_1,spline1,0.9731638431549072,3299,747.0,,,
circle_border_1,spline3,0.9718396961688995,1035,519.0,,,
double_touching_in_plane,mlp2,0.9491659104824066,17411,,,,
double_touching_in_plane,relu1,0.9319578111171722,28675,,,,
double_touching_in_plane,sae,0.905092179775238,28675,,,,
double_touching_in_plane,spline1,0.9802457988262177,3299,499.0,2475.0,,
double_touching_in_plane,spline3,0.9669885635375977,1379,519.0,,,
keyring_1,mlp2,0.9550385177135468,17411,17411.0,,,
keyring_1,relu1,0.9468159973621368,28675,,,,
keyring_1,sae,0.9282715320587158,28675,,,,
keyring_1,spline1,0.976906955242157,3299,663.0,,,
keyring_1,spline3,0.9710462093353271,1379,519.0,,,
keyring_2,mlp2,0.929047554731369,17411,,,,
keyring_2,relu1,0.9222943484783173,28675,,,,
keyring_2,sae,0.9010699987411499,28675,,,,
keyring_2,spline1,0.9718470573425293,3299,883.0,,,
keyring_2,spline3,0.9507104158401488,1035,1035.0,,,
plus_shape,mlp2,0.9830508530139923,17411,771.0,4611.0,,
plus_shape,relu1,0.9619545638561249,28675,1795.0,,,
plus_shape,sae,0.950504869222641,28675,3587.0,,,
plus_shape,spline1,0.9862062633037568,3299,251.0,883.0,,
plus_shape,spline3,0.9823296070098876,1379,347.0,1035.0,,
single_ring,mlp2,0.9817878007888794,17411,387.0,4611.0,,
single_ring,relu1,0.9681506454944611,28675,1795.0,,,
single_ring,sae,0.9619919061660768,28675,899.0,,,
single_ring,spline1,0.987506628036499,3299,113.0,663.0,,
single_ring,spline3,0.9861868917942047,1379,132.0,691.0,,
sphere_skeleton,mlp2,0.9596043825149536,17411,4611.0,,,
sphere_skeleton,relu1,0.9464781284332275,28675,,,,
sphere_skeleton,sae,0.9266038239002228,28675,,,,
sphere_skeleton,spline1,0.980865240097046,3299,499.0,1763.0,,
sphere_skeleton,spline3,0.9718062877655029,1379,691.0,,,
