shape,family,size,seed,n_params,steps,lr,val_acc,test_acc,test_acc_exterior,test_acc_surface,test_acc_interior,test_acc_near,test_acc_surface_Kneg,test_acc_surface_Kpos,test_acc_cavity,test_loss,train_acc,sparsity,best_step,seconds
chain_link_two,sae,"{""m"": 2}",0,17,3000,0.005,0.4922996163368225,0.49710777401924133,1.0,0.0,0.0,0.5054230093955994,0.0,0.0,0.6753926873207092,1.0207339525222778,0.49678435921669006,0.8741454482078552,50,6.7
chain_link_two,sae,"{""m"": 2}",1,17,3000,0.005,0.5227511525154114,0.5263803601264954,0.8028914332389832,0.4033333361148834,0.0,0.26030367612838745,0.45333331823349,0.36761903762817383,0.3926701545715332,0.9470552206039429,0.5221157670021057,0.45609113574028015,300,5.2
chain_link_two,sae,"{""m"": 4}",0,31,3000,0.005,0.5019251108169556,0.5191936492919922,0.7471791505813599,0.46833333373069763,0.0,0.29501086473464966,0.5080000162124634,0.4399999976158142,0.17277486622333527,0.9316965937614441,0.5145469903945923,0.17765118181705475,300,5.3
chain_link_two,sae,"{""m"": 4}",1,31,3000,0.005,0.645257294178009,0.6420683264732361,0.7891396880149841,0.7916666865348816,0.0,0.12147505581378937,0.9480000138282776,0.6800000071525574,0.005235602147877216,0.6897332668304443,0.6400665044784546,0.17230498790740967,2950,5.3
chain_link_two,sae,"{""m"": 8}",0,59,3000,0.005,0.6501575112342834,0.6518843173980713,0.8335684537887573,0.7527778148651123,0.0,0.14533622562885284,0.9293333292007446,0.6266666650772095,0.03664921596646309,0.7091064453125,0.649954080581665,0.4110429286956787,1950,5.3
chain_link_two,sae,"{""m"": 8}",1,59,3000,0.005,0.6618831157684326,0.6681857705116272,0.8117066621780396,0.8388888835906982,0.0,0.1323210448026657,0.9893333315849304,0.7314285635948181,0.0,0.6797965168952942,0.6629478931427002,0.48987728357315063,2150,5.0
chain_link_two,sae,"{""m"": 16}",0,115,3000,0.005,0.7182359099388123,0.7190183997154236,0.8095909953117371,0.8538889288902283,0.2516370415687561,0.1323210448026657,0.8573333024978638,0.8514285683631897,0.005235602147877216,0.6088886857032776,0.717526376247406,0.3641323447227478,3000,5.3
chain_link_two,sae,"{""m"": 16}",1,115,3000,0.005,0.6746587753295898,0.6787028908729553,0.8078279495239258,0.8644444942474365,0.023386342450976372,0.0954446867108345,0.9706666469573975,0.7885714173316956,0.005235602147877216,0.6411072611808777,0.6770792603492737,0.3247370719909668,2800,5.3
chain_link_two,sae,"{""m"": 32}",0,227,3000,0.005,0.7338116765022278,0.7342681884765625,0.8064175248146057,0.8561111092567444,0.3376987874507904,0.1561822146177292,0.825333297252655,0.8780952095985413,0.0,0.5946106910705566,0.7254233360290527,0.19107690453529358,2650,6.2
chain_link_two,sae,"{""m"": 32}",1,227,3000,0.005,0.7892894744873047,0.7873794436454773,0.8272214531898499,0.8594444394111633,0.5603367686271667,0.1757049858570099,0.7720000147819519,0.9219047427177429,0.07329843193292618,0.5309181213378906,0.7842236757278442,0.29628613591194153,2850,6.2
chain_link_two,sae,"{""m"": 64}",0,451,3000,0.005,0.826391339302063,0.818229615688324,0.8416784405708313,0.8550000190734863,0.6941066384315491,0.20824295282363892,0.7266666293144226,0.9466666579246521,0.30890053510665894,0.4534515142440796,0.8176707625389099,0.22605718672275543,2950,7.2
chain_link_two,sae,"{""m"": 64}",1,451,3000,0.005,0.8192159533500671,0.8094653487205505,0.8409732580184937,0.8444444537162781,0.6669784784317017,0.22125813364982605,0.7773333191871643,0.892380952835083,0.3141361176967621,0.4581705927848816,0.8189613819122314,0.23469817638397217,3000,7.2
chain_link_two,sae,"{""m"": 128}",0,899,3000,0.005,0.8795939683914185,0.8699386119842529,0.8804654479026794,0.9305555820465088,0.7399438619613647,0.2104121446609497,0.8706666827201843,0.9733332991600037,0.5497382283210754,0.3479672074317932,0.8762742280960083,0.1902306079864502,2850,10.3
chain_link_two,sae,"{""m"": 128}",1,899,3000,0.005,0.889044463634491,0.8816826939582825,0.892454206943512,0.9344444870948792,0.7642656564712524,0.24511930346488953,0.8759999871253967,0.976190447807312,0.6649214625358582,0.32629111409187317,0.8841055631637573,0.2149266004562378,3000,10.5
chain_link_two,sae,"{""m"": 256}",0,1795,3000,0.005,0.9060203433036804,0.8953549265861511,0.9005641937255859,0.9572222232818604,0.7773619890213013,0.23427331447601318,0.9120000004768372,0.9895238280296326,0.6910994648933411,0.29714834690093994,0.9019119143486023,0.15607813000679016,2700,16.8
chain_link_two,sae,"{""m"": 256}",1,1795,3000,0.005,0.9053202867507935,0.8988606333732605,0.9090268015861511,0.9533333778381348,0.780168354511261,0.2863340675830841,0.9013333320617676,0.9904761910438538,0.727748692035675,0.29287615418434143,0.9040994048118591,0.16574892401695251,3000,16.4
chain_link_two,sae,"{""m"": 512}",0,3587,3000,0.005,0.9247462749481201,0.9186677932739258,0.9167842268943787,0.9805555939674377,0.8194574117660522,0.2906724512577057,0.9559999704360962,0.9980952143669128,0.7329843044281006,0.2315986007452011,0.9243995547294617,0.11533194035291672,2850,26.8
chain_link_two,sae,"{""m"": 512}",1,3587,3000,0.005,0.921946108341217,0.9125328660011292,0.9125528931617737,0.9750000238418579,0.8072965145111084,0.2885032594203949,0.9426666498184204,0.9980952143669128,0.7015706896781921,0.24552655220031738,0.9206370115280151,0.1003413200378418,2950,35.8
chain_link_two,sae,"{""m"": 1024}",0,7171,3000,0.005,0.922646164894104,0.9148115515708923,0.9238364100456238,0.9750000238418579,0.7895228862762451,0.3232104182243347,0.9559999704360962,0.9885714054107666,0.6387434601783752,0.22978392243385315,0.9217526912689209,0.0600559376180172,3000,65.9
chain_link_two,sae,"{""m"": 1024}",1,7171,3000,0.005,0.922646164894104,0.9177913665771484,0.9206629395484924,0.976111114025116,0.8119738101959229,0.31670281291007996,0.9453333020210266,0.9980952143669128,0.7068063020706177,0.22777661681175232,0.9239183068275452,0.06388071179389954,2900,67.6
chain_link_two,sae,"{""m"": 2048}",0,14339,3000,0.005,0.9184459447860718,0.91060471534729,0.9210155606269836,0.9905555844306946,0.7483629584312439,0.3036876320838928,0.9959999918937683,0.9866666793823242,0.4921466112136841,0.23639339208602905,0.9181213974952698,0.033175479620695114,2700,130.0
chain_link_two,sae,"{""m"": 2048}",1,14339,3000,0.005,0.9250962734222412,0.919193685054779,0.9270098805427551,0.9744444489479065,0.8054256439208984,0.35791757702827454,0.9480000138282776,0.9933333396911621,0.6335078477859497,0.21703781187534332,0.9268496036529541,0.034557901322841644,3000,131.1
chain_link_two,sae,"{""m"": 4096}",0,28675,3000,0.005,0.9201960563659668,0.9132339954376221,0.9227786064147949,0.9905555844306946,0.757717490196228,0.3297179937362671,0.9986666440963745,0.9847618937492371,0.49738219380378723,0.22872991859912872,0.9194995164871216,0.02320765145123005,2650,235.3
chain_link_two,sae,"{""m"": 4096}",1,28675,3000,0.005,0.922646164894104,0.9146362543106079,0.9259520769119263,0.9916666746139526,0.7549111247062683,0.33405640721321106,0.9986666440963745,0.9866666793823242,0.4921466112136841,0.22210745513439178,0.9215120673179626,0.02241005375981331,2600,226.4
chain_link_two,relu1,"{""m"": 2}",0,17,3000,0.005,0.4922996163368225,0.49710777401924133,1.0,0.0,0.0,0.5054230093955994,0.0,0.0,0.6753926873207092,1.0207315683364868,0.49678435921669006,0.8744083642959595,50,7.5
chain_link_two,relu1,"{""m"": 2}",1,17,3000,0.005,0.5245012640953064,0.5274320840835571,0.808180570602417,0.398333340883255,0.0,0.2668112814426422,0.4466666579246521,0.3638095259666443,0.41361257433891296,0.9476724863052368,0.522050142288208,0.46993863582611084,300,7.2
chain_link_two,relu1,"{""m"": 4}",0,31,3000,0.005,0.5029751658439636,0.5253286361694336,0.682299017906189,0.5900000333786011,0.0,0.24511930346488953,0.6773333549499512,0.5276190638542175,0.07329843193292618,0.919968843460083,0.5166251063346863,0.15346187353134155,350,7.6
chain_link_two,relu1,"{""m"": 4}",1,31,3000,0.005,0.6450822949409485,0.6422436237335205,0.7894922494888306,0.7916666865348816,0.0,0.12364425510168076,0.9480000138282776,0.6800000071525574,0.005235602147877216,0.689835250377655,0.6401540040969849,0.17296230792999268,2700,7.6
chain_link_two,relu1,"{""m"": 8}",0,59,3000,0.005,0.6648582816123962,0.6634531021118164,0.8046544790267944,0.8350000381469727,0.0,0.12364425510168076,0.9666666388511658,0.7409523725509644,0.0,0.6668081283569336,0.6592947840690613,0.4510516822338104,2100,7.7
chain_link_two,relu1,"{""m"": 8}",1,59,3000,0.005,0.6648582816123962,0.6674846410751343,0.8071227073669434,0.8438889384269714,0.0,0.12147505581378937,0.9879999756813049,0.7409523725509644,0.005235602147877216,0.6762437224388123,0.6654854416847229,0.4942813217639923,2350,7.6
chain_link_two,relu1,"{""m"": 16}",0,115,3000,0.005,0.6725586652755737,0.6715161800384521,0.8120592832565308,0.8488889336585999,0.0,0.10412147641181946,0.9906666278839111,0.7476190328598022,0.0,0.6660878658294678,0.6725292205810547,0.44509202241897583,1000,6.3
chain_link_two,relu1,"{""m"": 16}",1,115,3000,0.005,0.6688834428787231,0.67554771900177,0.8236953616142273,0.84333336353302,0.0,0.14533622562885284,0.9946666359901428,0.7352380752563477,0.0,0.6841464042663574,0.6716979742050171,0.4596625566482544,800,6.5
chain_link_two,relu1,"{""m"": 32}",0,227,3000,0.005,0.7563878297805786,0.7491673827171326,0.8078279495239258,0.8494444489479065,0.4246959686279297,0.13882863521575928,0.7706666588783264,0.9057142734527588,0.015706807374954224,0.5748205780982971,0.7480422258377075,0.2620617747306824,2650,7.8
chain_link_two,relu1,"{""m"": 32}",1,227,3000,0.005,0.6984599232673645,0.7030674815177917,0.8043018579483032,0.8827778100967407,0.13189896941184998,0.0954446867108345,0.9213333129882812,0.8552380800247192,0.0,0.6204481720924377,0.7010543942451477,0.5245727300643921,3000,7.8
chain_link_two,relu1,"{""m"": 64}",0,451,3000,0.005,0.7901645302772522,0.7910604476928711,0.8117066621780396,0.8494444489479065,0.6379793882369995,0.21475054323673248,0.781333327293396,0.8980952501296997,0.057591624557971954,0.5175191760063171,0.7869143486022949,0.3987374007701874,2850,9.6
chain_link_two,relu1,"{""m"": 64}",1,451,3000,0.005,0.7917395830154419,0.779491662979126,0.812411904335022,0.8494444489479065,0.5743685364723206,0.16919739544391632,0.7053333520889282,0.9523809552192688,0.03664921596646309,0.5261920094490051,0.7816643118858337,0.45909014344215393,2050,9.6
chain_link_two,relu1,"{""m"": 128}",0,899,3000,0.005,0.8255162835121155,0.8180543184280396,0.8367419242858887,0.8644444942474365,0.6903648376464844,0.21908894181251526,0.7893333435058594,0.9180952310562134,0.3036649227142334,0.4476790130138397,0.817058265209198,0.5199947953224182,2900,12.6
chain_link_two,relu1,"{""m"": 128}",1,899,3000,0.005,0.8122156262397766,0.8047326803207397,0.8222849369049072,0.8500000238418579,0.6819457411766052,0.21908894181251526,0.762666642665863,0.9123809337615967,0.1780104786157608,0.48036623001098633,0.7996456623077393,0.52301025390625,2550,12.6
chain_link_two,relu1,"{""m"": 256}",0,1795,3000,0.005,0.895869791507721,0.8855389952659607,0.8910437822341919,0.945555567741394,0.7698783874511719,0.23861171305179596,0.8880000114440918,0.9866666793823242,0.6701570749282837,0.31949564814567566,0.8902524709701538,0.48066797852516174,3000,17.6
