shape,family,size,seed,n_params,steps,lr,val_acc,test_acc,test_acc_exterior,test_acc_surface,test_acc_interior,test_acc_near,test_acc_surface_Kneg,test_acc_surface_Kpos,test_acc_cavity,test_loss,train_acc,sparsity,best_step,seconds
keyring_1,sae,"{""m"": 2}",0,17,3000,0.005,0.5244926810264587,0.5120713710784912,0.7624778747558594,0.42992210388183594,0.0,0.21709007024765015,0.4993288815021515,0.3808166980743408,0.20000000298023224,0.9537049531936646,0.5164574980735779,0.5502099394798279,450,4.4
keyring_1,sae,"{""m"": 2}",1,17,3000,0.005,0.525017499923706,0.5185444355010986,0.8909734487533569,0.24860955774784088,0.0,0.3371824324131012,0.24832215905189514,0.24881291389465332,0.5333333611488342,0.9901113510131836,0.5222609043121338,0.5290412902832031,200,3.2
keyring_1,sae,"{""m"": 4}",0,31,3000,0.005,0.5761021971702576,0.5680546164512634,0.6516814231872559,0.7819799184799194,0.0,0.10161662846803665,0.9315436482429504,0.6761633157730103,0.0,0.8086256384849548,0.5690602660179138,0.12849895656108856,850,3.2
keyring_1,sae,"{""m"": 4}",1,31,3000,0.005,0.6420574188232422,0.640832781791687,0.7808849215507507,0.8103448152542114,0.0,0.11085450649261475,0.9436241984367371,0.7160493731498718,0.0,0.6964276432991028,0.6331165432929993,0.16921798884868622,2850,3.1
keyring_1,sae,"{""m"": 8}",0,59,3000,0.005,0.6536039113998413,0.6543037295341492,0.7837167978286743,0.8487207889556885,0.0,0.09468822181224823,0.9651007056236267,0.7663817405700684,0.0,0.6838541626930237,0.6463000774383545,0.3804889917373657,2450,3.2
keyring_1,sae,"{""m"": 8}",1,59,3000,0.005,0.6502799391746521,0.6501049995422363,0.7865486741065979,0.8309231996536255,0.0,0.10161662846803665,0.9543624520301819,0.7435896992683411,0.0,0.6867259740829468,0.644022524356842,0.379373699426651,2400,3.9
keyring_1,sae,"{""m"": 16}",0,115,3000,0.005,0.7095871567726135,0.705913245677948,0.8031858205795288,0.8381534814834595,0.2369624823331833,0.13625866174697876,0.8832215070724487,0.8062677979469299,0.0,0.6203238368034363,0.7037644982337952,0.3183826208114624,3000,4.3
keyring_1,sae,"{""m"": 16}",1,115,3000,0.005,0.7150105237960815,0.712736189365387,0.8092035055160522,0.8665183186531067,0.21043001115322113,0.11778290569782257,0.8604027032852173,0.8708451986312866,0.02222222276031971,0.6120865345001221,0.711363673210144,0.29736703634262085,3000,3.3
keyring_1,sae,"{""m"": 32}",0,227,3000,0.005,0.7396780848503113,0.7400280237197876,0.8031858205795288,0.8492769598960876,0.39707228541374207,0.1778291016817093,0.7906040549278259,0.890788197517395,0.0,0.5909866690635681,0.7324310541152954,0.19377078115940094,2950,3.2
keyring_1,sae,"{""m"": 32}",1,227,3000,0.005,0.7673197984695435,0.7692442536354065,0.8265486359596252,0.8375973105430603,0.508691668510437,0.15473440289497375,0.7275168299674988,0.9154795408248901,0.01904761977493763,0.5557604432106018,0.7694632411003113,0.3076561391353607,2550,3.2
keyring_1,sae,"{""m"": 64}",0,451,3000,0.005,0.7886634469032288,0.7849895358085632,0.8339822888374329,0.8214682340621948,0.5983531475067139,0.22401846945285797,0.6832215189933777,0.9192782044410706,0.05714285746216774,0.5036247968673706,0.789851725101471,0.2430185079574585,2950,3.6
keyring_1,sae,"{""m"": 64}",1,451,3000,0.005,0.8418474793434143,0.8427221775054932,0.8789380192756653,0.86429363489151,0.7136322259902954,0.24249422550201416,0.7959731817245483,0.912630558013916,0.4761904776096344,0.40603047609329224,0.845542311668396,0.2529303729534149,2800,3.5
