shape,family,size,seed,n_params,steps,lr,val_acc,test_acc,test_acc_exterior,test_acc_surface,test_acc_interior,test_acc_near,test_acc_surface_Kneg,test_acc_surface_Kpos,test_acc_cavity,test_loss,train_acc,sparsity,best_step,stop_step,seconds
plus_shape,sae,"{""m"": 4}",0,31,15000,0.005,0.5134500861167908,0.5057699084281921,0.5399925112724304,0.8376225829124451,0.0,0.08053691685199738,0.9814814925193787,0.7428861260414124,0.0,0.8504787087440491,0.5086047649383545,0.08650378882884979,2300,5300,10.3
plus_shape,sae,"{""m"": 8}",0,59,15000,0.005,0.6190648078918457,0.6269383430480957,0.7393916845321655,0.5778186321258545,0.45163869857788086,0.27293065190315247,0.5277777910232544,0.6107723116874695,0.0,0.6872296333312988,0.6249943375587463,0.20532816648483276,4600,7600,12.8
plus_shape,sae,"{""m"": 16}",0,115,15000,0.005,0.8304747939109802,0.8379011750221252,0.8772061467170715,0.8143382668495178,0.7849720120429993,0.304250568151474,0.7206790447235107,0.8760161995887756,0.5224719047546387,0.405777245759964,0.8284903168678284,0.3612513542175293,6900,9900,16.5
plus_shape,sae,"{""m"": 32}",0,227,15000,0.005,0.927243173122406,0.9278759360313416,0.936913251876831,0.9540441632270813,0.8745003938674927,0.3914988934993744,0.9197530746459961,0.9766259789466858,0.8258426785469055,0.21348880231380463,0.9241564273834229,0.21931910514831543,6500,9500,16.0
plus_shape,sae,"{""m"": 64}",0,451,15000,0.005,0.9675031304359436,0.9633970260620117,0.966203510761261,0.9871323704719543,0.9264588356018066,0.5973154306411743,0.979938268661499,0.9918698668479919,0.966292142868042,0.11887187510728836,0.9679010510444641,0.2535216808319092,12600,15000,36.0
plus_shape,sae,"{""m"": 128}",0,899,15000,0.005,0.9754468202590942,0.9711503982543945,0.9707097411155701,0.9969363212585449,0.9384492635726929,0.6532438397407532,0.9938271641731262,0.9989836812019348,0.9719101190567017,0.0915885865688324,0.9760778546333313,0.1880127638578415,12400,15000,52.2
plus_shape,sae,"{""m"": 256}",0,1795,15000,0.005,0.9795991778373718,0.9776415228843689,0.9785955548286438,0.998774528503418,0.948041558265686,0.7270693778991699,0.9969136118888855,0.9999999403953552,0.9719101190567017,0.06922048330307007,0.9825876951217651,0.13656167685985565,13600,15000,79.9
plus_shape,sae,"{""m"": 512}",0,3587,15000,0.005,0.9805018901824951,0.9798052906990051,0.9800976514816284,0.999387264251709,0.9536370635032654,0.7516778707504272,1.0,0.9989836812019348,0.9775280952453613,0.06637644022703171,0.9838266372680664,0.10521060973405838,13700,15000,129.8
plus_shape,sae,"{""m"": 1024}",0,7171,15000,0.005,0.9797797203063965,0.9816083908081055,0.9827262759208679,0.999387264251709,0.9560351967811584,0.7740492224693298,1.0,0.9989836812019348,0.9719101190567017,0.06227630749344826,0.9840744137763977,0.048417143523693085,14200,15000,222.9
plus_shape,sae,"{""m"": 2048}",0,14339,15000,0.005,0.9803213477134705,0.9803462028503418,0.9812241792678833,0.998774528503418,0.9544364213943481,0.7606263756752014,1.0,0.9979674220085144,0.9887640476226807,0.06747952848672867,0.9836239218711853,0.023846015334129333,12500,15000,426.1
