shape,family,size,seed,n_params,steps,lr,val_acc,test_acc,test_acc_exterior,test_acc_surface,test_acc_interior,test_acc_near,test_acc_surface_Kneg,test_acc_surface_Kpos,test_acc_cavity,test_loss,train_acc,sparsity,best_step,stop_step,seconds
sphere_skeleton,sae,"{""m"": 4}",0,31,15000,0.005,0.4882385730743408,0.489739328622818,1.0,0.0,0.0,0.45996275544166565,0.0,0.0,0.9920319318771362,1.0128957033157349,0.4954778850078583,0.2629413902759552,100,5000,9.9
sphere_skeleton,sae,"{""m"": 8}",0,59,15000,0.005,0.6365993618965149,0.6171196103096008,0.7376368641853333,0.23509934544563293,0.823199987411499,0.42458102107048035,0.08681134879589081,0.33260154724121094,0.007968127727508545,0.7325324416160583,0.6328148245811462,0.13918931782245636,4500,7500,12.7
sphere_skeleton,sae,"{""m"": 16}",0,115,15000,0.005,0.7895906567573547,0.7872065305709839,0.8505096435546875,0.6986755132675171,0.7599999904632568,0.32216015458106995,0.5592654347419739,0.7903403043746948,0.6733068227767944,0.4828972816467285,0.7933784127235413,0.3285149931907654,13300,15000,24.8
sphere_skeleton,sae,"{""m"": 32}",0,227,15000,0.005,0.8477495908737183,0.8422998785972595,0.8795772194862366,0.8039734959602356,0.8095999956130981,0.3165735602378845,0.6260433793067932,0.9209659695625305,0.7370518445968628,0.38596415519714355,0.847550630569458,0.2781648635864258,5400,8400,14.4
sphere_skeleton,sae,"{""m"": 64}",0,451,15000,0.005,0.9179477691650391,0.9206877946853638,0.9343148469924927,0.9364238381385803,0.8727999925613403,0.45996275544166565,0.8797996640205383,0.9736553430557251,0.8884462118148804,0.22247588634490967,0.9248331785202026,0.22958554327487946,8000,11000,24.5
sphere_skeleton,sae,"{""m"": 128}",0,899,15000,0.005,0.9496203064918518,0.9528563618659973,0.9546999335289001,0.9807947278022766,0.9151999950408936,0.5921787619590759,0.9649415612220764,0.9912184476852417,0.9043824672698975,0.14361195266246796,0.9574527144432068,0.18559923768043518,13300,15000,49.7
sphere_skeleton,sae,"{""m"": 256}",0,1795,15000,0.005,0.9592517018318176,0.9628397226333618,0.9667799472808838,0.9900662302970886,0.9215999841690063,0.659217894077301,0.9816360473632812,0.9956092238426208,0.9282869100570679,0.11825284361839294,0.9655901789665222,0.13496242463588715,11300,14300,73.6
sphere_skeleton,sae,"{""m"": 512}",0,3587,15000,0.005,0.9564734101295471,0.9596968293190002,0.9664024114608765,0.9854304790496826,0.9143999814987183,0.6405959129333496,0.9716193079948425,0.9945115447044373,0.9282869100570679,0.12214869260787964,0.965404212474823,0.0907309427857399,14500,15000,126.9
sphere_skeleton,sae,"{""m"": 1024}",0,7171,15000,0.005,0.9555473327636719,0.9587724208831787,0.9645149111747742,0.981456995010376,0.9192000031471252,0.6387336850166321,0.9699499011039734,0.9890230894088745,0.9123506546020508,0.12692560255527496,0.9650554656982422,0.04545971751213074,14800,15000,218.2
sphere_skeleton,sae,"{""m"": 2048}",0,14339,15000,0.005,0.9509168267250061,0.9565539360046387,0.9671574234962463,0.9728477001190186,0.9143999814987183,0.6517691016197205,0.9532554149627686,0.985729992389679,0.9123506546020508,0.13718056678771973,0.9601961970329285,0.019605545327067375,14400,15000,420.7
sphere_skeleton,sae_weak,"{""m"": 4}",0,31,15000,0.005,0.4882385730743408,0.489739328622818,1.0,0.0,0.0,0.45996275544166565,0.0,0.0,0.9920319318771362,1.0126172304153442,0.4954778850078583,0.27223148941993713,100,5000,9.1
sphere_skeleton,sae_weak,"{""m"": 8}",0,59,15000,0.005,0.6325245499610901,0.6173045039176941,0.7466968894004822,0.23642385005950928,0.8032000064849854,0.42830541729927063,0.09682804346084595,0.3282107710838318,0.007968127727508545,0.7401312589645386,0.6306293606758118,0.21729987859725952,2400,5400,9.8
