axis,dataset,x,size,n_cells,r,train_path_over_geo,shell,temperature,p_obs,success,valid,reached,len_ratio,len_over_geo,val_success,n_params,pos_linear,pos_relu_2500,pos_spline_2500,pos_gap_2500,pos_relu_10000,pos_spline_10000,pos_gap_10000,pos_sae,dir_linear,dir_relu_2500,dir_spline_2500,dir_gap_2500,dir_relu_10000,dir_spline_10000,dir_gap_10000,dir_sae
hole,ring_r012,0.12,L3_d64,1117,0.12,1.0,0.0,0.0,0.0,0.996,0.996,0.997,1.0208314939100551,1.0208314939100551,0.993,225152,0.5509217381477356,0.7859434485435486,0.7921528816223145,0.006209433078765869,0.9009246826171875,0.9004985690116882,-0.0004261136054992676,0.9585967063903809,0.10780587047338486,0.4166918694972992,0.3333570957183838,-0.0833347737789154,0.6093677282333374,0.5764886736869812,-0.0328790545463562,0.6026619672775269
hole,ring_r012,0.12,L6_d256,1117,0.12,1.0,0.0,0.0,0.0,0.996,0.998,0.997,1.0276818871630462,1.0276818871630462,0.999,5036288,0.6116296648979187,0.5865519046783447,0.6116827130317688,0.025130808353424072,0.757533609867096,0.7847582697868347,0.02722465991973877,0.8720049858093262,0.2730598747730255,0.3565951883792877,0.3732413053512573,0.016646116971969604,0.49421441555023193,0.480217844247818,-0.01399657130241394,0.5671895146369934
hole,ring_r025,0.25,L3_d64,1926,0.25,1.0,0.0,0.0,0.0,0.987,0.989,0.995,1.0270824455543817,1.0270824455543817,0.986,276608,0.5278158783912659,0.7822299599647522,0.7409289479255676,-0.04130101203918457,0.8758528232574463,0.8821393847465515,0.006286561489105225,0.9173890948295593,0.19295088946819305,0.3579220771789551,0.30843257904052734,-0.049489498138427734,0.49827221035957336,0.4431636333465576,-0.05510857701301575,0.48304644227027893
hole,ring_r025,0.25,L6_d256,1926,0.25,1.0,0.0,0.0,0.0,0.995,0.996,0.999,1.0064598745283595,1.0064598745283595,0.997,5242112,0.6587861180305481,0.7227478623390198,0.7592213749885559,0.03647351264953613,0.7934265732765198,0.8341681361198425,0.040741562843322754,0.8364853858947754,0.24905067682266235,0.29775968194007874,0.30611559748649597,0.008355915546417236,0.3912823498249054,0.3616425096988678,-0.029639840126037598,0.44407495856285095
hole,ring_r040,0.4,L3_d64,2254,0.4,1.0,0.0,0.0,0.0,0.978,0.981,0.99,1.0461688488509553,1.0461688488509553,0.985,297536,0.47722363471984863,0.7634766697883606,0.7208809852600098,-0.04259568452835083,0.8665353655815125,0.8721888661384583,0.005653500556945801,0.8938086032867432,0.20553569495677948,0.3480871617794037,0.30037015676498413,-0.047717005014419556,0.45553961396217346,0.4131964445114136,-0.04234316945075989,0.44870099425315857
hole,ring_r040,0.4,L6_d256,2254,0.4,1.0,0.0,0.0,0.0,0.995,0.996,0.999,1.009876573480813,1.009876573480813,0.998,5325824,0.5465107560157776,0.6606159806251526,0.6756513714790344,0.015035390853881836,0.7612220644950867,0.7818201184272766,0.02059805393218994,0.7820789813995361,0.22731894254684448,0.27828940749168396,0.26738542318344116,-0.010903984308242798,0.348466157913208,0.31529006361961365,-0.03317609429359436,0.377814382314682
hole,ring_r050,0.5,L3_d64,2470,0.5,1.0,0.0,0.0,0.0,0.959,0.967,0.975,1.1363616420818796,1.1363616420818796,0.956,311296,0.41789913177490234,0.7485401034355164,0.7031723856925964,-0.04536771774291992,0.8509013056755066,0.8556026816368103,0.004701375961303711,0.8799893856048584,0.15474770963191986,0.2952617406845093,0.2620415985584259,-0.033220142126083374,0.396136999130249,0.3716296851634979,-0.0245073139667511,0.3736121356487274
hole,ring_r050,0.5,L6_d256,2470,0.5,1.0,0.0,0.0,0.0,0.992,0.992,0.999,1.0221282232539401,1.0221282232539401,0.999,5380864,0.6338640451431274,0.7395696640014648,0.7648261189460754,0.025256454944610596,0.8214122653007507,0.8581437468528748,0.03673148155212402,0.8391191959381104,0.2725229561328888,0.3231498897075653,0.311829537153244,-0.011320352554321289,0.37347206473350525,0.3494912087917328,-0.02398085594177246,0.3827227056026459
density,ring_n3k,3000.0,L3_d64,1401,0.25,1.0,0.0,0.0,0.0,0.996,0.996,0.999,1.0072919249500873,1.0072919249500873,0.998,242176,0.5867311358451843,0.8386402130126953,0.8186827301979065,-0.01995748281478882,0.9193152785301208,0.920447826385498,0.0011325478553771973,0.9451517462730408,0.23319776356220245,0.4479891359806061,0.3871830403804779,-0.060806095600128174,0.6039150953292847,0.5558232665061951,-0.0480918288230896,0.5931313633918762
density,ring_n3k,3000.0,L6_d256,1401,0.25,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0074302269326187,1.0074302269326187,0.999,5104384,0.6658409237861633,0.7352827191352844,0.7644600868225098,0.029177367687225342,0.8173506855964661,0.8548082709312439,0.03745758533477783,0.8597134947776794,0.22101838886737823,0.29824042320251465,0.3169027268886566,0.018662303686141968,0.4208611249923706,0.4120576083660126,-0.008803516626358032,0.5019242763519287
density,ring_r025,11000.0,L3_d64,1926,0.25,1.0,0.0,0.0,0.0,0.987,0.989,0.995,1.0270824455543817,1.0270824455543817,0.986,276608,0.5278158783912659,0.7822299599647522,0.7409289479255676,-0.04130101203918457,0.8758528232574463,0.8821393847465515,0.006286561489105225,0.9173890948295593,0.19295088946819305,0.3579220771789551,0.30843257904052734,-0.049489498138427734,0.49827221035957336,0.4431636333465576,-0.05510857701301575,0.48304644227027893
density,ring_r025,11000.0,L6_d256,1926,0.25,1.0,0.0,0.0,0.0,0.995,0.996,0.999,1.0064598745283595,1.0064598745283595,0.997,5242112,0.6587861180305481,0.7227478623390198,0.7592213749885559,0.03647351264953613,0.7934265732765198,0.8341681361198425,0.040741562843322754,0.8364853858947754,0.24905067682266235,0.29775968194007874,0.30611559748649597,0.008355915546417236,0.3912823498249054,0.3616425096988678,-0.029639840126037598,0.44407495856285095
density,ring_n40k,40000.0,L3_d64,2123,0.25,1.0,0.0,0.0,0.0,0.975,0.977,0.988,1.0482720345331926,1.0482720345331926,0.982,289664,0.5310678482055664,0.7731735110282898,0.7458591461181641,-0.027314364910125732,0.8678175806999207,0.8645781874656677,-0.0032393932342529297,0.9036118984222412,0.13460516929626465,0.2971962094306946,0.2466776818037033,-0.05051852762699127,0.4141772985458374,0.37825560569763184,-0.035921692848205566,0.4149773120880127
